Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density,feature
0.2675,0.17,0.17,0.2275,0.165,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mel_spec
0.26,0.195,0.1675,0.2475,0.165,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mel_spec
0.265,0.17,0.17,0.51,0.9475,0.0925,0.5375,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mel_spec
0.2175,0.185,0.17,0.25,0.2975,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mel_spec
0.195,0.2475,0.1675,0.2525,0.255,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mel_spec
0.28,0.2725,0.17,0.265,0.2275,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mfcc
0.27,0.17,0.1675,0.245,0.26,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mfcc
0.3375,0.22,0.17,0.325,0.3875,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mfcc
0.265,0.1975,0.17,0.25,0.24,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mfcc
0.2425,0.19,0.17,0.275,0.2725,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mfcc
0.305,0.22,0.1675,0.2575,0.2075,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0.295,0.2225,0.17,0.2775,0.17,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,vggish
0.3075,0.19,0.17,0.4675,0.4375,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,vggish
0.3125,0.2225,0.1675,0.325,1.0,0.165,0.3475,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,vggish
0.23,0.2325,0.17,0.2175,0.2325,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,vggish
0.205,0.19,0.17,0.2575,0.1675,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0.2275,0.2175,0.17,0.2425,0.21,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,yamnet
0.27,0.2,0.1675,0.5575,0.94,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,yamnet
0.295,0.185,0.17,0.25,0.335,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,yamnet
0.27,0.2125,0.1675,0.27,0.26,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,yamnet
0.2575,0.2725,0.17,0.305,0.17,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,wav2vec
0.29,0.17,0.17,0.245,0.2475,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,wav2vec
0.245,0.19,0.165,0.4525,0.71,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,wav2vec
0.3175,0.1925,0.17,0.2725,0.235,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,wav2vec
0.375,0.1825,0.17,0.28,0.2775,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,wav2vec
0.225,0.175,0.17,0.5675,0.19,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,hubert
0.26,0.19,0.17,0.2475,0.2175,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,hubert
0.24,0.175,0.1675,0.47,0.57,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,hubert
0.2475,0.1825,0.17,0.2025,0.9675,0.1725,0.535,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,hubert
0.2725,0.1775,0.17,0.205,0.265,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,hubert
0.235,0.1725,0.1675,0.5525,0.1675,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,wavlm
0.2975,0.19,0.165,0.2325,0.2175,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,wavlm
0.235,0.235,0.17,0.82,0.5,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,wavlm
0.2475,0.175,0.1675,0.345,0.235,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,wavlm
0.2225,0.2175,0.17,0.2525,0.255,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,wavlm
0.2725,0.21,0.17,0.7575,0.165,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mel_spec
0.21,0.225,0.1675,0.2525,0.2025,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mel_spec
0.2675,0.265,0.1675,0.4475,0.1675,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mel_spec
0.2125,0.265,0.17,0.2325,0.22,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mel_spec
0.2075,0.22,0.17,0.85,0.1725,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mel_spec
0.22,0.18,0.17,0.4675,0.2625,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mel_spec
0.2575,0.1725,0.17,0.6425,0.3725,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mel_spec
0.26,0.2125,0.1675,0.2425,0.28,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mel_spec
0.265,0.2225,0.17,0.555,0.91,0.24,0.44,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mel_spec
0.25,0.2125,0.17,0.2675,0.27,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mel_spec
0.3,0.2125,0.1675,0.36,0.165,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mfcc
0.305,0.2025,0.17,0.2625,0.1675,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,mfcc
0.31,0.1875,0.17,0.215,0.1725,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mfcc
0.28,0.23,0.17,0.2675,0.1975,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,mfcc
0.2775,0.22,0.17,0.78,0.175,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mfcc
0.2475,0.19,0.17,0.4275,0.215,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,mfcc
0.2725,0.2125,0.1675,0.27,0.865,0.2425,0.445,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mfcc
0.2475,0.245,0.17,0.415,0.3125,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,mfcc
0.3025,0.2225,0.17,0.485,0.9,0.165,0.51,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mfcc
0.26,0.225,0.1675,0.24,0.3325,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,mfcc
0.315,0.21,0.17,0.25,0.165,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0.315,0.195,0.17,0.22,0.18,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,vggish
0.3225,0.27,0.1675,0.2275,0.1675,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,vggish
0.3475,0.1875,0.17,0.2525,0.68,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,full_weighted,-500.0,0.5,1.0,0.5,allmini,filter,full,clique,1,1.0,1.0,vggish
0.295,0.195,0.17,0.8325,0.17,0.165,0.5,0.0,0.0,0.0,0,0,0.1,-500.0,fixed,-500.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,vggish
